Genus,Species,Label,ForStrat_terrestrial,ForStrat_aquatic,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,female_maturity_d,male_maturity_d,weaning_d,litters_or_clutches_per_y,longevity_y,adult_svl_cm,infantMortalityRate_per_year,mortalityRateDoublingTime_y,metabolicRate_W,temperature_K,diet_breadth,development_d,mass_specific_production,log_litterclutch_size_n,log_inter_litterbirth_interval_y,log_birthhatching_weight_g,log_weaning_weight_g,log_adult_body_mass_g,log_female_body_mass_g,log_male_body_mass_g,tnc_ecoregion_breadth,log_range_size,X2.1_AgeatEyeOpening_d,X9.1_GestationLen_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X6.2_TrophicLevel,X13.3_WeaningHeadBodyLen_mm,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,log_DispersalAge_d,log_HomeRange_km2,log_HomeRange_Indiv_km2,log_PopulationDensity_n.km2,log_PopulationGrpSize,log_HuPopDen_Min_n.km2,log_HuPopDen_Mean_n.km2,log_HuPopDen_5p_n.km2,log_NeonateHeadBodyLen_mm,log_WOS_hits,Family
Mirza,coquereli,0,1,0,1,0,0,343.74,275,136,1,15.3,24.092,NA,NA,NA,NA,0.5,89,0.07967545,0.536493371,-0.000684694,2.674148649,5.119059418,5.740435792,5.580225981,5.775991864,2,10.80420295,NA,88.58,1,4,2,NA,-13.25,-23.43,-18.34,49.05,43.76,46.41,0.19,92.48,238.89,937.06,1597.7,NA,-3.506557897,-3.218875825,4.674416359,1.504077397,0.693147181,2.307572635,1.098612289,4.194416837,2.63905733,Cheirogaleidae
Varecia,variegata,0,1,0,0,1,0,652.76,608,111.85006,1,32,55.3675,NA,NA,NA,NA,0.1,100.32812,0.053708174,0.78845736,-0.000684694,4.495299515,7.970049305,8.207946941,8.499449664,8.182281262,1,9.183621984,NA,102.5,2.8,6,1,NA,-15.11,-23.26,-19.18,49.83,46.68,48.25,0.18,188.58,199,1351.4,1563.99,NA,0.329303747,0.678033543,3.326114576,1.252762968,1.609437912,3.813969065,2.079441542,4.419563238,5.802118375,Lemuridae
Nycticebus,coucang,0,1,0,1,0,0,619.41,796.2706431,177.06876,1,25.8,34,NA,NA,1.504,308.55,0.4,189.545,0.054219973,0.034401427,0.159708685,3.910822285,6.253828812,6.859929649,7.514446939,7.069804424,8,13.35493376,NA,191.09,1,NA,2,NA,9.33,-8.78,0.27,120.25,95.18,107.72,0.14,237.29,248.73,1664.86,1740.31,NA,-1.094919543,-2.69042336,2.995732274,NA,0,5.010501952,1.386294361,4.927265108,5.017279837,Lorisidae
Loris,tardigradus,0,1,0,1,0,0,380,365,158.745,1.5,15.90833333,24.4245,NA,NA,0.714,308.65,0.4,167.61208,0.098403225,0.31481074,-0.439933269,2.457021446,4.934473933,5.495978994,5.388487227,5.624017506,1,9.642271025,NA,165.99,1,NA,2,NA,7.59,5.91,6.75,81.01,79.79,80.4,0.03,147.27,252.28,1550.45,1554.95,NA,-4.953355413,-4.605170186,4.280685807,NA,5.068904202,6.418625913,5.068904202,4.009074677,4.430816799,Lorisidae
Gorilla,gorilla,1,1,0,0,0,1,2829,4015,834,0.3,50.2,167.222,NA,NA,NA,308.65,0.2,257,0.004949535,0.004987542,1.353525073,7.636269603,9.441055189,11.745746,9.993348166,11.80559508,6,13.45384726,NA,257,6,NA,2,NA,7.82,-6.05,0.88,17.05,8.69,12.87,7.00E-02,152.88,242.43,1291.11,1502.69,8.565789051,1.393766376,1.909374838,-0.527632742,2.302585093,-0.179131193,2.632608006,0,6.083202951,7.36707706,Hominidae
Arctocebus,calabarensis,0,1,0,1,0,0,298.91,270,112.30884,1.5,13,27.2495,NA,NA,0.731,309.15,0.2,133.74,0.172780353,0,-0.953703363,3.390810289,5.075173815,5.552009521,4.825009113,5.76585392,6,11.90793781,NA,133.74,1,NA,2,NA,7.45,3.58,5.52,13.39,6.02,9.71,0.11,184.44,247.75,1217.99,1530.26,NA,-1.906622726,-2.76610703,1.824549292,NA,1.791759469,4.978869391,1.945910149,4.465336832,1.386294361,Lorisidae
Otolemur,garnettii,0,1,0,1,0,0,344.83988,450,91.55374,1.715,17,20,NA,NA,3.927,309.15,0.3,128.74428,0.064151469,0.231111721,-0.497904677,2.642622396,4.685228278,6.159655485,5.8673405,5.359633946,9,13.2502684,NA,132.24,1,NA,2,NA,2.51,-11.74,-4.61,45.25,33.08,39.17,0.15,67.92,235.97,868.67,1602.36,NA,-2.120263536,-2.040220829,3.63758616,NA,0,3.930452141,1.098612289,4.056260657,4.204692619,Galagidae
Callimico,goeldii,0,1,0,0,0,1,389.42,395,71.765,1.2,17.9,25.7,NA,NA,NA,309.15,0.3,153.495,0.104819407,0,-0.703467189,3.883829271,5.370638028,6.321667171,6.087797934,6.200754727,7,13.30859841,NA,153.99,6.85,NA,2,NA,0.97,-11.64,-5.33,-67.04,-77.15,-72.1,0.11,209.19,259.78,1476.2,1518.11,NA,-1.139434283,-0.798507696,0.732367894,NA,1.67941931,1.098612289,0.373365104,4.731965895,5.33753808,Cebidae
Callithrix,jacchus,0,1,0,0,0,1,477,382,62,2,16.25,30,NA,NA,0.848,309.15,0.4,144,0.476087774,0.806475866,-0.798279567,3.300271463,4.572646994,5.542047551,5.468834439,5.768320996,7,13.75721363,NA,144,8.55,NA,2,NA,-2.78,-10.38,-6.58,-34.79,-45.78,-40.28,0.06,99.39,249.92,912.68,1488.61,NA,-3.912023005,-3.861294285,6.230835716,NA,0,4.118549251,0.693147181,4.412490796,8.127404563,Cebidae
Alouatta,palliata,0,1,0,0,0,1,1287.4428,1278,433,0.6,22,74.5675,NA,NA,11.464,309.15,0.2,186,0.039096046,0,0.380160168,5.910118908,7.003065459,8.641027216,8.748401994,8.858335494,20,13.24880709,NA,185.42,13.1,NA,1,NA,18.71,-4.8,6.95,-76.77,-95.57,-86.17,0.13,185.26,237.38,1299.96,1633.87,NA,-1.660731207,-1.171182982,4.077367938,NA,0.693147181,4.130033405,1.386294361,5.194300266,6.445719819,Atelidae
Tarsius,tarsier,0,1,0,1,1,0,501.76184,431.7492074,68.34986,1.84,12,14.0105,NA,NA,0.831,309.15,0.1,176.37016,0.264247399,0,-0.330711989,3.212656525,4.358718621,5.153291594,4.916821945,4.439766682,2,11.86456333,NA,181.69,3.25,NA,2,NA,1.75,-5.7,-1.97,125.24,118.75,121.99,0.08,229.41,215.47,1812.6,1909.15,NA,-3.912023005,-3.912023005,5.298317367,NA,2.833213344,4.559545008,2.833213344,4.486445633,3.951243719,Tarsiidae
Perodicticus,potto,0,1,0,1,0,0,561.58,547,132.09224,1,26,35.5,NA,NA,1.942,309.25,0.3,193,0.041271316,0.029558802,-0.280090614,3.701548857,5.975978409,6.918695219,7.20514231,7.108724645,11,13.47977737,NA,193,1,NA,2,NA,14.74,-11.2,1.77,38.63,-17.52,10.55,0.12,139,243.76,1255.85,1545.51,NA,-2.207274913,-2.120263536,2.136530509,NA,-9.49E-02,3.933588783,0,4.911731671,4.248495242,Lorisidae
Otolemur,crassicaudatus,0,1,0,1,0,0,609.86,639,137.87508,1,18.8,38.6,NA,NA,2.595,309.75,0.3,131.04,0.065483947,0.405465108,-0.411644325,3.840956557,6.214608098,6.972371922,7.477479991,7.183823525,24,15.39356336,NA,131.04,3.5,NA,2,NA,1.05,-30.48,-14.71,40.84,18.27,29.55,0.18,87.09,220.22,912.84,1482.63,NA,-2.813410717,-2.659260037,4.477223172,NA,1.61E-03,3.542118073,0.693147181,4.806317618,3.891820298,Galagidae
Chlorocebus,aethiops,1,1,0,0,0,1,1318.86,1825,212.74764,1,30.69166667,66,NA,NA,NA,309.95,0.4,167.99,0.063847774,0,0.173268611,5.786575244,6.943363706,8.537828805,8.347116361,8.67956711,9,13.95195382,NA,170.3987944,NA,NA,NA,NA,19.5,5.71,12.6,43.42,31.64,37.53,0.13,70.92,216.52,804.7,1517.54,NA,-0.861384736,-2.458596162,3.217699229,NA,0.693147181,4.002229273,1.098612289,4.969616457,7.171656823,Cercopithecidae
Colobus,guereza,1,1,0,0,0,1,1635.92,1461,376.79768,0.775,26,62.734,NA,NA,17.037,310.15,0.2,180,0.042217108,0,0.191191527,6.201411404,7.234444099,9.111448887,8.974238219,9.185432736,17,14.76903241,NA,169.02,7.6,NA,1,NA,14.41,-4.09,5.15,44.32,8.2,26.26,0.1,108.92,231.64,1126.47,1560.54,NA,-1.771956842,-1.271448294,4.597138014,1.945910149,-2.17E-02,3.693866996,0,5.178219691,5.303304908,Cercopithecidae
Homo,sapiens,0,1,0,0,0,1,4745,5110,639,0.485,122.5,NA,2.00E-04,8,82.78,310.15,0.3,280,0.025897679,0,0.782228053,8.10545847,9.37160852,11.03545402,NA,NA,NA,NA,NA,274.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.875566692,Hominidae
Macaca,mulatta,1,1,0,0,0,1,1231,2007,292,1,34.63333333,65.95,0.02,15,NA,310.45,0.4,165,0.071596613,0,0.127093875,6.160236386,7.282073658,8.796943894,8.582793649,9.122546871,38,15.8321883,NA,166.07,38.5,NA,1,NA,36.45,13.69,25.07,122.13,71.21,96.67,0.08,117.36,168.8,902.19,1218.04,NA,1.776645831,1.978194196,2.406945108,3.889777396,-0.487968534,5.488441735,1.386294361,5.298973177,9.230339058,Cercopithecidae
Cercopithecus,mitis,1,1,0,0,0,1,1845.03032,1673,315.62132,0.5,27.1,63.75,NA,NA,19.276,310.65,0.4,136.962,0.032015859,0,0.391681293,5.970368584,7.02199103,8.718745316,8.345217927,8.843470782,23,14.66723676,NA,138.39,16,NA,2,NA,12,-15.82,-1.9,37.98,12.99,25.48,0.15,109.08,221.49,1116.18,1528.47,NA,-2.302585093,-1.832581464,4.254051208,NA,0.261569472,3.643882088,1.098612289,5.06239981,5.356586275,Cercopithecidae
Macaca,fascicularis,1,1,0,0,0,1,1278.75,1544,262.765,0.93,37.55,52.15,NA,NA,NA,310.75,0.3,165,0.066021509,0,0.127033601,5.781915668,6.746741099,8.427119676,8.185350223,8.582044164,41,14.80771081,NA,164.69,27,NA,2,NA,18.65,-10.37,4.13,127.3,95.18,111.24,0.12,219.05,249.22,1553.06,1719.8,NA,-0.776528789,-0.315612563,3.911822985,3.161246712,0,5.083575918,1.386294361,5.143285812,8.698514248,Cercopithecidae
Galago,senegalensis,1,1,0,1,0,0,285.185,300,89.08874,2,17.025,18,NA,NA,0.764,311.05,0.2,126.49,0.190426639,0.405465108,-0.497904677,2.501435952,4.685228278,5.258536497,4.389951486,4.823240442,23,15.86431553,NA,126.98,3.5,NA,2,NA,17.84,-13.94,1.95,46.5,-17.53,14.48,0.12,80.08,249.92,836.61,1594.8,NA,-2.525728644,-2.207274913,4.497250844,NA,-0.133594381,3.753261713,0,3.972427086,5.609471795,Galagidae
Saimiri,sciureus,1,1,0,0,0,1,1090.58878,1826,177,1.07,27,34.1,NA,NA,4.429,311.15,0.5,164.09,0.137474603,0,0.02400792,4.677490848,6.017375929,6.729465583,6.539481674,6.658011046,36,15.30161151,NA,164.09,34.85,NA,2,NA,7.61,-8.91,-0.64,-44.29,-78.36,-61.33,0.11,186.86,253.03,1461.05,1606.65,NA,-0.385662481,-0.430782916,3.586015819,NA,1.790116418,1.532556868,4.39E-02,5.068265775,7.384610383,Cebidae
Aotus,trivirgatus,0,1,0,1,0,0,821,730,77,1.34,25.3,36.3995,NA,NA,2.499,311.15,0.6,142,0.148356288,0.058268908,-0.302160095,4.512835575,5.886104031,6.771912646,7.04750333,6.950433746,10,13.53055139,NA,133.47,3.15,NA,2,NA,9.06,-0.76,4.15,-60.35,-70.9,-65.62,0.2,178.6,247.71,1488.11,1676.33,NA,-3.912023005,-2.995732274,3.193352868,NA,1.667358527,0.615185639,0.42652833,4.852796689,6.054439346,Aotidae
Papio,hamadryas,1,1,0,0,0,1,1583.185,1762,300,0.8,37.5,71.85,0.06,4,21.095,311.15,0.3,179.27687,0.036959111,0,0.476425471,6.723327506,8.281470858,9.798127037,9.541405158,10.04137818,10,13.32176986,NA,180,36.9,NA,1,NA,17.42,8.03,12.72,46.73,37.4,42.06,0.15,45.94,216.13,572.44,1620.73,NA,2.85474458,2.983655807,0.741937345,3.988984047,1.098612289,4.201553369,1.609437912,5.245242132,6.721425701,Cercopithecidae
Erythrocebus,patas,1,1,0,0,0,1,977.75912,1400,162.22388,1,23.9,77,NA,NA,5.958,312.45,0.3,167.2,0.071339991,0,-0.011704097,6.303534308,7.575584652,8.943832535,8.609772373,9.342946337,18,15.77976962,NA,167.2,28,NA,2,NA,19.93,-3.98,7.97,37.99,-17.53,10.22,0.1,73.39,263.6,760.42,1596.49,NA,3.340739413,3.708436953,-1.347073648,3.020424886,-0.239884006,3.489513463,0,5.376172203,5.857933154,Cercopithecidae
Allocebus,trichotis,0,1,0,1,0,0,371.3755295,614.8371455,92.24703231,1,8.98333333,13.3495,NA,NA,NA,NA,0.2,124.4428802,0.108121004,0,-0.280648789,2.159125395,4.04567939,4.357862008,4.783469794,4.208952555,2,10.66525453,NA,108.6687356,1,NA,2,125,-13.99,-19.18,-16.59,50.48,48.22,49.35,0.17,190.23,203.17,1388.15,1653.74,NA,-3.307713176,-2.790023816,4.666491171,0.693147181,2.079441542,3.401530659,2.397895273,4.084036116,2.833213344,Cheirogaleidae
Cheirogaleus,crossleyi,0,1,0,1,0,0,420.91,412.1653223,47.1579,1.321580417,11.69583333,24.45,NA,NA,NA,NA,0.3,70.7623,0.257841238,0.813149973,0.117774161,2.893699548,4.755371147,6.040516582,6.058423198,5.982612855,3,7.175616847,NA,71.29065151,NA,NA,NA,NA,-16.62,-20.82,-18.72,49.01,47.11,48.06,0.2,180.87,187.64,1253.51,1513.46,NA,-3.277451305,-2.79393773,4.431936661,NA,1.609437912,4.105284502,1.791759469,4.204157964,1.791759469,Cheirogaleidae
Cheirogaleus,minusculus,0,1,0,1,0,0,577.5270302,655.2891402,107.4605909,1.531322922,7.447560825,22.66335213,NA,NA,NA,NA,0.3,104.6930609,0.29990079,0.357979146,-0.107161763,2.784099513,4.923287754,5.653856666,4.423022623,5.079399678,8.819004059,9.624474711,NA,108.7679415,NA,NA,NA,NA,-20.33,-20.62,-20.48,47.35,47.05,47.2,0.16,144.48,152.5,1267.91,1474.98,NA,-1.98184536,-2.807174611,5.44429273,NA,4.094344562,4.189654742,4.094344562,4.007028641,0,Cheirogaleidae
Cheirogaleus,ravus,0,1,0,1,0,0,577.5270302,655.2891402,118.0804525,1.661021822,6.154291072,22.66335213,NA,NA,NA,NA,0.3,108.1614499,0.29990079,0.508634239,-0.050129948,2.772373608,4.923287754,5.653856666,4.428425298,5.079399678,8.88305903,10.8830063,NA,108.7679415,NA,NA,NA,NA,-17.45,-18.72,-18.09,49.51,49.1,49.31,0.16,277.97,222.32,1453.68,1719.12,NA,-1.98184536,-2.801997884,4.961236478,NA,3.33220451,4.127618139,3.33220451,4.007028641,0,Cheirogaleidae
Cheirogaleus,sibreei,0,1,0,1,0,0,420.91,410.0085969,47.1579,1.289643645,13.39166667,24.45,NA,NA,NA,NA,0.3,70.7623,0.258828788,0.813149973,-0.017004745,2.893699548,4.755371147,6.040516582,6.053363963,5.982612855,1,3.701989532,NA,71.29065151,NA,NA,NA,NA,-19.18,-20.78,-19.98,48.09,47.02,47.56,0.18,154.45,169.11,1257.96,1475.8,NA,-3.284983314,-2.80519973,4.509482231,NA,2.833213344,4.240319051,2.833213344,4.204157964,1.791759469,Cheirogaleidae
