"","Genus","Species","Habitat_Forest","Habitat_Savanna","Habitat_Shrubland","Habitat_Grassland","Habitat_Wetlands","Habitat_Rocky.areas","Habitat_Desert","IUCN","Pop_T","TrophicGuild"
"189","Macaca","nigrescens",1,0,0,0,0,0,0,"VU","D","Frugivore"
"190","Macaca","ochreata",1,0,0,0,0,0,0,"VU","D","Frugivore"
"191","Macaca","pagensis",1,0,0,0,0,0,0,"CR","D","Frugivore"
"192","Macaca","radiata",1,1,1,0,0,0,0,"LC","D","Frugivore"
"193","Macaca","siberu",1,0,0,0,0,0,0,"VU","D","Frugivore"
"194","Macaca","silenus",1,0,0,0,0,0,0,"EN","D","Frugivore"
"195","Macaca","sinica",1,0,0,0,0,0,0,"EN","D","Frugivore"
"196","Macaca","sylvanus",1,0,1,0,0,1,0,"EN","D","Omnivore"
"197","Macaca","thibetana",1,0,0,0,0,0,0,"NT","D","Frugivore"
"198","Macaca","tonkeana",1,0,0,0,0,0,0,"VU","D","Frugivore"
"199","Mandrillus","leucophaeus",1,1,0,0,0,1,0,"EN",NA,"Omnivore"
"200","Mandrillus","sphinx",1,0,0,0,0,0,0,"VU",NA,"Omnivore"
"201","Callithrix","acariensis",1,0,0,0,0,0,0,"LC",NA,"Omnivore"
"202","Callithrix","argentata",1,1,0,0,0,0,0,"LC","D","Omnivore"
"203","Callithrix","chrysoleuca",1,0,0,0,0,0,0,"LC",NA,"Omnivore"
"204","Callithrix","emiliae",1,1,0,0,0,0,0,"LC",NA,"Omnivore"
"205","Callithrix","humeralifera",1,0,0,0,0,0,0,"DD",NA,"Omnivore"
"206","Callithrix","humilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Callithrix","intermedia",1,0,0,0,0,0,0,"LC","D","Omnivore"
"208","Callithrix","leucippe",1,0,0,0,0,0,0,"VU","D","Omnivore"
"209","Callithrix","marcai",1,0,0,0,0,0,0,"DD",NA,NA
"210","Callithrix","mauesi",1,0,0,0,0,0,0,"LC","S","Omnivore"
"211","Callithrix","melanura",1,1,0,0,0,0,0,"LC",NA,"Omnivore"
"212","Callithrix","nigriceps",1,0,0,0,0,0,0,"DD",NA,"Omnivore"
"213","Callithrix","saterei",1,0,0,0,0,0,0,"LC",NA,"Omnivore"
"214","Microcebus","berthae",1,0,0,0,0,0,0,"EN","D","Omnivore"
"215","Microcebus","griseorufus",1,0,1,0,0,0,0,"LC","D","Omnivore"
"216","Microcebus","murinus",1,0,1,0,0,0,0,"LC","D",NA
"217","Microcebus","myoxinus",1,0,0,0,0,0,0,"VU","D","Omnivore"
"218","Microcebus","ravelobensis",1,0,0,0,0,0,0,"EN","D","Omnivore"
"219","Microcebus","rufus",1,0,0,0,0,0,0,"VU","D","Omnivore"
"220","Microcebus","sambiranensis",1,0,0,0,0,0,0,"EN","D","Omnivore"
"221","Microcebus","tavaratra",1,0,0,0,0,0,0,"VU","D","Omnivore"
"222","Miopithecus","ogouensis",1,0,0,0,0,0,0,"LC","S","Frugivore"
"223","Miopithecus","talapoin",1,0,0,0,1,0,0,"LC",NA,"Omnivore"
"224","Mirza","coquereli",1,0,0,0,0,0,0,"EN","D","Omnivore"
"225","Nasalis","larvatus",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
